EventID,EventName,EventType,Date,StartTime,EndTime,Location,Capacity,ActualAttendance,Weather_Condition,Promotion_Type
1005,Artisan Fair,Exhibition,2024-05-18,11:00:00,18:00:00,City Park,300,225,Sunny,Posters in Local Businesses
1006,Tech Startup Pitch Night,Networking,2024-06-03,18:30:00,21:30:00,Coworking Space,100,85,Clear Skies,Online Ads
1007,Poetry Slam,Performance,2024-06-22,19:00:00,22:00:00,Local Cafe,75,60,Partly Cloudy,Word of Mouth
1008,Charity 5K Run,Fundraiser,2024-07-14,08:00:00,11:00:00,Riverfront Trail,500,400,Overcast,Radio Spots
1009,Outdoor Concert Series,Music,2024-07-27,18:00:00,22:00:00,Amphitheater,2000,1800,Clear Skies,TV Commercials
1010,Beginner's Cooking Class,Educational,2024-08-10,10:00:00,13:00:00,Community Kitchen,20,18,Sunny,Flyers
1011,Product Launch Party,Corporate,2024-09-05,19:00:00,22:00:00,Event Space,300,275,Partly Cloudy,Influencer Marketing
1012,Open Mic Night,Performance,2024-09-21,19:30:00,23:00:00,Local Bar,100,80,Clear Skies,Social Media
1013,Vintage Car Show,Exhibition,2024-10-06,10:00:00,16:00:00,Fairgrounds,500,425,Sunny,Billboards
1014,Wellness Retreat,Wellness,2024-11-02,09:00:00,17:00:00,Resort,100,90,Partly Cloudy,Email Marketing
1015,Charity Gala,Fundraiser,2024-11-23,19:00:00,23:00:00,Hotel Ballroom,400,375,Clear Skies,Direct Mail
1016,Sci-Fi Convention,Convention,2024-12-07,10:00:00,19:00:00,Convention Center,2500,2100,Overcast,Website
1017,Holiday Craft Fair,Exhibition,2024-12-21,11:00:00,18:00:00,Community Center,150,130,Snowy,Local Newspaper
1018,Business Seminar,Educational,2025-01-11,09:00:00,17:00:00,Conference Hall,200,175,Partly Cloudy,Email Campaign
1019,Art Gallery Opening,Exhibition,2025-02-01,18:00:00,21:00:00,Gallery,100,85,Clear Skies,Posters
1020,Salsa Dance Night,Entertainment,2025-02-22,20:00:00,23:00:00,Dance Studio,75,60,Sunny,Radio Ads
1021,Tech Conference,Conference,2025-03-15,08:00:00,18:00:00,Convention Center,1500,1200,Overcast,TV Commercials
1022,Outdoor Movie Screening,Entertainment,2025-04-05,20:00:00,22:30:00,Park,300,250,Clear Skies,Social Media
1023,Book Signing,Educational,2025-04-26,14:00:00,16:00:00,Bookstore,50,40,Partly Cloudy,Flyers
1024,Wine Tasting,Food & Drink,2025-05-17,18:00:00,21:00:00,Winery,100,90,Sunny,Email Marketing
1025,Charity Golf Tournament,Fundraiser,2025-06-07,07:00:00,16:00:00,Golf Course,150,120,Clear Skies,Billboards
1026,Poker Tournament,Entertainment,2025-06-28,18:00:00,23:00:00,Casino,200,180,Partly Cloudy,Social Media
1027,Photography Workshop,Educational,2025-07-19,10:00:00,16:00:00,Art Center,30,25,Sunny,Flyers
1028,Beer Festival,Food & Drink,2025-08-09,12:00:00,20:00:00,Park,1000,850,Clear Skies,Radio Ads
1029,Author Reading,Educational,2025-09-06,19:00:00,21:00:00,Library,75,60,Overcast,Local Newspaper
1030,Fashion Show,Exhibition,2025-09-27,20:00:00,22:00:00,Event Hall,300,275,Clear Skies,Influencer Marketing
1031,Paint Night,Entertainment,2025-10-18,19:00:00,22:00:00,Restaurant,40,35,Partly Cloudy,Email Campaign
1032,Yoga Retreat,Wellness,2025-11-08,09:00:00,17:00:00,Resort,50,45,Sunny,Social Media Ads
1033,Startup Pitch Competition,Business,2025-11-29,13:00:00,18:00:00,Coworking Space,100,85,Clear Skies,Website
1034,Standup Comedy Show,Entertainment,2025-12-20,20:00:00,22:30:00,Comedy Club,150,130,Partly Cloudy,Radio Spots
1035,Charity Bake Sale,Fundraiser,2026-01-10,10:00:00,16:00:00,Downtown Plaza,500,400,Sunny,Posters
1036,Marketing Conference,Conference,2026-02-07,08:00:00,18:00:00,Convention Center,800,650,Clear Skies,Email Marketing
1037,Street Food Festival,Food & Drink,2026-02-28,11:00:00,21:00:00,City Streets,2000,1700,Partly Cloudy,TV Ads
1038,Career Fair,Business,2026-03-21,10:00:00,15:00:00,University,300,220,Overcast,Campus Flyers
1039,Jazz Night,Music,2026-04-11,19:00:00,23:00:00,Music Hall,200,170,Clear Skies,Social Media
1040,Coding Bootcamp,Educational,2026-05-02,09:00:00,17:00:00,Tech Hub,40,35,Sunny,Email Campaign
1041,Arts and Crafts Fair,Exhibition,2026-05-23,11:00:00,18:00:00,Downtown Plaza,150,125,Partly Cloudy,Local Newspaper
1042,Outdoor Zumba Class,Wellness,2026-06-13,09:00:00,10:00:00,Park,100,85,Clear Skies,Flyers
1043,Video Game Convention,Convention,2026-07-04,10:00:00,19:00:00,Convention Center,3000,2500,Sunny,TV Commercials
1044,Cocktail Making Class,Food & Drink,2026-07-25,19:00:00,22:00:00,Bar,30,25,Clear Skies,Social Media
1045,Business Networking Mixer,Business,2026-08-15,18:00:00,21:00:00,Hotel,150,120,Partly Cloudy,Email Marketing
1046,Outdoor Painting Class,Educational,2026-09-06,10:00:00,13:00:00,City Park,25,20,Sunny,Flyers
1047,Improv Comedy Show,Entertainment,2026-09-27,20:00:00,22:00:00,Theater,100,85,Clear Skies,Social Media
1048,Woodworking Workshop,Educational,2026-10-18,13:00:00,17:00:00,Community Center,15,12,Partly Cloudy,Local Newspaper
1049,Murder Mystery Dinner,Entertainment,2026-11-08,19:00:00,22:30:00,Restaurant,60,50,Overcast,Email Marketing
1050,Startup Weekend,Business,2026-11-29,09:00:00,18:00:00,Coworking Space,75,65,Clear Skies,Targeted Ads
1051,New Year's Eve Party,Entertainment,2026-12-31,20:00:00,02:00:00,Event Hall,500,450,Partly Cloudy,TV Commercials
1052,Chili Cook-Off,Food & Drink,2027-01-23,11:00:00,16:00:00,Park,300,250,Sunny,Radio Spots
1053,Trivia Night,Entertainment,2027-02-13,19:00:00,22:00:00,Bar,80,70,Clear Skies,Posters
1054,Meditation Retreat,Wellness,2027-03-06,09:00:00,17:00:00,Resort,40,35,Overcast,Social Media
1055,Amateur Boxing Tournament,Sports,2027-03-27,18:00:00,22:00:00,Community Center,200,175,Partly Cloudy,Local Newspaper
1056,Artisan Soap Making Class,Educational,2027-04-17,14:00:00,17:00:00,Craft Studio,20,18,Sunny,Flyers
1057,Battle of the Bands,Music,2027-05-08,17:00:00,23:00:00,Music Venue,400,350,Clear Skies,Radio Ads
1058,Dog Adoption Event,Community,2027-05-29,10:00:00,15:00:00,Pet Store,100,85,Partly Cloudy,Social Media
1059,Farmer's Market,Food & Drink,2027-06-19,08:00:00,13:00:00,Downtown Plaza,75,65,Sunny,Local Ads
1060,Escape Room Challenge,Entertainment,2027-07-10,11:00:00,16:00:00,Escape Room,50,40,Clear Skies,Email Marketing
1061,Craft Beer Festival,Food & Drink,2027-07-31,12:00:00,20:00:00,Fairgrounds,2000,1700,Sunny,Radio Ads
1062,Salsa Dance Lessons,Educational,2027-08-21,18:00:00,20:00:00,Dance Studio,30,25,Partly Cloudy,Flyers
1063,Open Air Cinema,Entertainment,2027-09-11,20:00:00,23:00:00,Park,300,250,Clear Skies,Social Media
1064,Makeup Masterclass,Educational,2027-10-02,13:00:00,16:00:00,Hotel Ballroom,50,40,Overcast,Influencer Marketing
1065,Singles Mixer,Social,2027-10-23,19:00:00,23:00:00,Bar,100,80,Partly Cloudy,Online Ads
1066,Rock Climbing Competition,Sports,2027-11-13,09:00:00,17:00:00,Indoor Climbing Gym,75,60,Sunny,Local Newspaper
1067,Holiday Lights Display,Exhibition,2027-12-04,17:00:00,21:00:00,City Streets,5000,4000,Clear Skies,TV Commercials
1068,Ugly Sweater Party,Entertainment,2027-12-25,20:00:00,02:00:00,Bar,200,175,Snowy,Social Media
1069,Pottery Painting Workshop,Educational,2028-01-15,14:00:00,17:00:00,Art Studio,25,20,Partly Cloudy,Flyers
1070,Wine & Paint Night,Food & Drink,2028-02-05,19:00:00,22:00:00,Restaurant,40,35,Clear Skies,Email Marketing
1071,Car Show & Swap Meet,Exhibition,2028-02-26,08:00:00,16:00:00,Fairgrounds,500,400,Sunny,Radio Spots
1072,Charity Casino Night,Fundraiser,2028-03-18,19:00:00,23:00:00,Hotel Ballroom,250,200,Overcast,Local Ads
1073,Microsoft Office Training,Educational,2028-04-08,09:00:00,16:00:00,Office Building,30,25,Partly Cloudy,Corporate Email
1074,Beach Volleyball Tournament,Sports,2028-04-29,10:00:00,17:00:00,Beach,100,85,Sunny,Posters
1075,Silent Disco Party,Entertainment,2028-05-20,21:00:00,02:00:00,Nightclub,300,250,Clear Skies,Social Media Ads
1076,Outdoor Yoga Session,Wellness,2028-06-10,07:00:00,08:30:00,Park,100,85,Sunny,Flyers
1077,Magic Show,Entertainment,2028-07-01,19:00:00,21:00:00,Theater,200,180,Partly Cloudy,Local Newspaper
1078,Book Club Meeting,Educational,2028-07-22,18:00:00,20:00:00,Library,25,20,Clear Skies,Social Media
1079,Ice Cream Social,Food & Drink,2028-08-12,14:00:00,17:00:00,Community Center,150,120,Sunny,Email Marketing
1080,Retro Video Game Tournament,Entertainment,2028-09-02,11:00:00,19:00:00,Arcade,100,90,Overcast,Online Ads
1081,Knitting Circle,Hobbies,2028-09-23,13:00:00,16:00:00,Coffee Shop,20,15,Partly Cloudy,Word of Mouth
1082,Children's Art Exhibition,Educational,2028-10-14,10:00:00,15:00:00,Art Gallery,75,60,Sunny,School Flyers
1083,Pumpkin Carving Contest,Seasonal,2028-10-28,12:00:00,16:00:00,Pumpkin Patch,200,175,Clear Skies,Social Media
1084,5K Turkey Trot,Fundraiser,2028-11-18,09:00:00,12:00:00,City Park,500,400,Overcast,Radio Ads
1085,Black Friday Sale,Retail,2028-11-24,06:00:00,22:00:00,Shopping Mall,5000,4500,Partly Cloudy,TV Commercials
1086,Winter Wonderland Festival,Seasonal,2028-12-15,16:00:00,21:00:00,Downtown Plaza,1000,900,Snowy,Billboards
1087,New Year's Day Brunch,Food & Drink,2029-01-01,10:00:00,14:00:00,Restaurant,100,85,Sunny,Email Marketing
1088,Indoor Flea Market,Shopping,2029-01-20,09:00:00,16:00:00,Convention Center,300,250,Overcast,Local Newspaper
1089,Ping Pong Tournament,Sports,2029-02-10,12:00:00,18:00:00,Community Center,50,40,Partly Cloudy,Flyers
1090,Chocolate Lovers Festival,Food & Drink,2029-02-24,11:00:00,17:00:00,Park,500,425,Sunny,Radio Spots
1091,Home Improvement Seminar,Educational,2029-03-17,10:00:00,15:00:00,Hardware Store,75,60,Clear Skies,In-Store Promos
1092,Ballroom Dance Competition,Dance,2029-04-07,18:00:00,23:00:00,Event Hall,200,175,Partly Cloudy,Social Media Ads
1093,Pet Adoption Fair,Community,2029-04-28,10:00:00,16:00:00,Animal Shelter,100,80,Sunny,Local TV Segment
1094,Glow in the Dark 5K Run,Fundraiser,2029-05-19,20:00:00,23:00:00,City Streets,1000,850,Clear Skies,Online Marketing
1095,Cinco de Mayo Party,Food & Drink,2029-05-05,18:00:00,23:00:00,Bar,300,250,Partly Cloudy,Radio Promos
1096,Summer Kick-Off Concert,Music,2029-06-02,19:00:00,23:00:00,Amphitheater,5000,4200,Sunny,TV Commercials
1097,Book Fair,Educational,2029-06-23,10:00:00,18:00:00,Convention Center,2000,1700,Partly Cloudy,Email Marketing
1098,Outdoor Karaoke Night,Entertainment,2029-07-14,19:00:00,23:00:00,Beer Garden,200,175,Clear Skies,Social Media
1099,Back to School Clothing Swap,Community,2029-08-04,11:00:00,15:00:00,School Gym,300,250,Sunny,School Newsletters
1100,Robotics Competition,Educational,2029-08-25,09:00:00,17:00:00,University,100,90,Overcast,STEM Outreach
1101,Renaissance Fair,Festival,2029-09-15,10:00:00,18:00:00,Fairgrounds,2500,2000,Partly Cloudy,Radio Ads
1102,Haunted House,Seasonal,2029-10-06,19:00:00,23:00:00,Abandoned Building,500,450,Clear Skies,Local Newspaper
1103,Craft Beer & Wine Festival,Food & Drink,2029-10-27,12:00:00,20:00:00,Park,1500,1300,Sunny,Targeted Facebook Ads
1104,Winter Holiday Market,Shopping,2029-11-17,10:00:00,17:00:00,Convention Center,500,400,Overcast,Email Blasts
1105,Ugly Sweater Fun Run,Fitness,2029-12-08,09:00:00,12:00:00,City Streets,1000,800,Partly Cloudy,Social Media Contest
1106,New Year's Eve Masquerade Ball,Entertainment,2029-12-31,20:00:00,02:00:00,Hotel Ballroom,300,275,Clear Skies,Targeted Influencers
1107,Indoor Rock Climbing Competition,Sports,2030-01-19,09:00:00,18:00:00,Climbing Gym,150,125,Snowy,Local Climbing Groups
1108,Chili Cook-Off,Food & Drink,2030-02-09,11:00:00,16:00:00,City Park,300,250,Partly Cloudy,Radio Promos
1109,Job Fair,Business,2030-03-02,10:00:00,15:00:00,Convention Center,100,75,Overcast,Corporate Recruiting Emails
1110,Ballet Performance,Arts,2030-03-23,19:00:00,21:30:00,Theater,500,425,Clear Skies,Local Arts Listings
1111,Earth Day Festival,Community,2030-04-13,11:00:00,16:00:00,Downtown Plaza,1000,850,Sunny,LED Billboards
1112,24-Hour Movie Marathon,Entertainment,2030-05-04,12:00:00,12:00:00,Cinema,200,175,Partly Cloudy,Social Media Contests
1113,Hot Air Balloon Festival,Seasonal,2030-05-25,07:00:00,17:00:00,Open Field,2000,1800,Clear Skies,TV Segments
1114,Father's Day Car Show,Exhibition,2030-06-15,10:00:00,15:00:00,City Streets,500,400,Sunny,Flyers & Posters
1115,Dog Friendly Yappy Hour,Pets,2030-07-06,16:00:00,19:00:00,Dog Park,100,80,Partly Cloudy,Pet Store Promotions
1116,Full Moon Outdoor Yoga,Wellness,2030-07-27,20:00:00,22:00:00,Beach,75,65,Clear Skies,Local Yoga Studios
1117,Vinyl Record Swap Meet,Shopping,2030-08-17,10:00:00,16:00:00,Music Store,100,80,Partly Cloudy,Email Lists
1118,Drive-In Movie Night,Entertainment,2030-09-07,20:00:00,23:00:00,Parking Lot,200,175,Clear Skies,Radio Ads
1119,Pumpkin Painting Party,Seasonal,2030-09-28,14:00:00,17:00:00,Farm,150,125,Sunny,Social Media
1120,Oktoberfest Celebration,Food & Drink,2030-10-19,12:00:00,22:00:00,Beer Garden,1000,900,Overcast,TV Commercials
1121,College Game Day Tailgate,Sports,2030-11-09,09:00:00,16:00:00,Stadium Parking Lot,500,450,Partly Cloudy,Campus Email Blasts
1122,Gingerbread House Competition,Seasonal,2030-11-30,12:00:00,16:00:00,Community Center,100,85,Snowy,Local Newspaper
1123,Polar Bear Plunge,Fundraiser,2030-12-21,10:00:00,12:00:00,Lake,300,250,Sunny,Charity Website
1124,Vision Board Workshop,Self-Improvement,2031-01-11,13:00:00,16:00:00,Event Space,50,40,Clear Skies,Fitness Center Emails
1125,Psychic Fair,Spiritual,2031-02-01,11:00:00,18:00:00,Hotel Conference Room,75,60,Overcast,Flyers
1126,Soapbox Derby Race,Sports,2031-02-22,09:00:00,15:00:00,City Streets,200,175,Partly Cloudy,Posters & Banners
1127,Mardi Gras Party,Entertainment,2031-03-15,20:00:00,02:00:00,Nightclub,500,450,Clear Skies,Radio Promotions
1128,Science Fair,Educational,2031-04-05,09:00:00,15:00:00,Convention Center,1000,800,Sunny,School Email Lists
1129,Gardening Workshop,Educational,2031-04-26,10:00:00,12:00:00,Botanical Garden,75,65,Partly Cloudy,Local Nursery Promos
1130,Comic Book Convention,Entertainment,2031-05-17,10:00:00,18:00:00,Convention Center,5000,4500,Clear Skies,Social Media Influencers
1131,Outdoor Painting Festival,Arts,2031-06-07,11:00:00,17:00:00,Park,200,175,Sunny,Local Art Galleries
1132,Supercar Show,Exhibition,2031-06-28,09:00:00,16:00:00,Racetrack,1000,850,Partly Cloudy,Automotive Magazines
1133,Sand Sculpting Competition,Arts,2031-07-19,08:00:00,18:00:00,Beach,300,250,Sunny,Travel Blogs
1134,Charity Casino Night,Fundraiser,2031-08-09,19:00:00,23:00:00,Hotel Ballroom,400,350,Clear Skies,Non-Profit Email Lists
1135,BBQ Cook-Off,Food & Drink,2031-08-30,11:00:00,18:00:00,City Park,500,425,Partly Cloudy,Radio Promotions
1136,Battle of the Bands,Music,2031-09-20,18:00:00,23:00:00,Music Venue,500,450,Clear Skies,Social Media Ads
1137,Stamp & Coin Collectors Show,Hobbies,2031-10-11,09:00:00,16:00:00,Convention Center,200,175,Partly Cloudy,Collectors Club Emails
1138,Pumpkin Carving Workshop,Seasonal,2031-10-25,14:00:00,17:00:00,Farm,75,60,Sunny,Fall Festival Guides
1139,Turkey Trot 5K Run,Fitness,2031-11-15,09:00:00,11:00:00,City Park,1000,900,Overcast,Corporate Wellness Programs
1140,Holiday Makers Market,Shopping,2031-12-06,10:00:00,18:00:00,Expo Center,300,250,Partly Cloudy,Local boutique promotions
1141,Ugly Sweater Bowling Tournament,Entertainment,2031-12-27,19:00:00,22:00:00,Bowling Alley,100,85,Clear Skies,Radio Contests
1142,60s Themed Dance Party,Entertainment,2032-01-17,20:00:00,02:00:00,Event Hall,300,275,Partly Cloudy,Retro Fan Clubs
1143,Mountain Biking Race,Sports,2032-02-07,08:00:00,13:00:00,Trail System,200,175,Sunny,Local Cycling Shops
1144,Kids Triathlon,Sports,2032-02-28,09:00:00,12:00:00,Park,150,125,Clear Skies,School Wellness Programs
1145,Antique Automobile Show,Exhibition,2032-03-20,10:00:00,16:00:00,Fairgrounds,500,425,Overcast,Car Enthusiast Forums
1146,Spring Gardening Expo,Home & Garden,2032-04-10,09:00:00,17:00:00,Convention Center,1000,850,Partly Cloudy,Nursery Newsletters
1147,Food Truck Rodeo,Food & Drink,2032-05-01,11:00:00,20:00:00,City Streets,3000,2500,Sunny,Social Media Influencers
1148,Bark in the Park,Pets,2032-05-22,10:00:00,15:00:00,Dog Park,500,400,Clear Skies,Pet Store Promotions
1149,Outdoor Sculpture Exhibition,Arts,2032-06-12,10:00:00,18:00:00,City Park,200,175,Partly Cloudy,Art Gallery Emails
1150,Lake Swimming Competition,Sports,2032-07-03,08:00:00,13:00:00,Lake,100,90,Sunny,Local Swim Clubs
1151,Firecracker 5K Run,Fitness,2032-07-04,07:00:00,10:00:00,City Streets,2000,1800,Clear Skies,Corporate Wellness Challenges
1152,Watercolor Painting Workshop,Arts,2032-07-24,13:00:00,16:00:00,Art Center,25,20,Partly Cloudy,Community Arts Programs
1153,Moonlight Paddle Board Race,Sports,2032-08-14,20:00:00,22:00:00,Lake,75,60,Clear Skies,Water Sports Stores
1154,Sidewalk Chalk Art Festival,Arts,2032-09-04,10:00:00,17:00:00,Downtown Plaza,300,250,Sunny,Local Arts Organizations
1155,Parents Night Out,Community,2032-09-25,18:00:00,23:00:00,Community Center,100,80,Partly Cloudy,School PTA Emails
1156,Haunted Hayride,Seasonal,2032-10-16,19:00:00,23:00:00,Farm,500,450,Clear Skies,Social Media Contests
1157,Bridal Expo,Shopping,2032-11-06,10:00:00,17:00:00,Convention Center,1000,900,Partly Cloudy,Wedding Magazine Ads
1158,Turkey Bowl Flag Football,Sports,2032-11-27,09:00:00,15:00:00,City Park,200,175,Overcast,Company Intramurals
1159,Holiday Lights Tour,Seasonal,2032-12-18,17:00:00,21:00:00,Neighborhood,1000,850,Clear Skies,Charity Website
1160,Boxing Day 5K Run,Fitness,2032-12-26,09:00:00,11:00:00,City Streets,500,400,Sunny,Corporate Wellness Challenges
1161,Mixology Class,Food & Drink,2033-01-16,18:00:00,21:00:00,Bar,30,25,Partly Cloudy,Local Liquor Stores
